type,name,elevation_ft,iso_country,municipality,iata_code,coordinates
small_airport,Harry P Williams Memorial Airport,9.0,US,Patterson,PTN,"-91.338996887207, 29.709499359131"
small_airport,Pratt Regional Airport,1953.0,US,Pratt,PTT,"-98.74690247, 37.70159912"
small_airport,Porterville Municipal Airport,442.0,US,Porterville,PTV,"-119.06300354004, 36.029598236084"
small_airport,Heritage Field,309.0,US,Pottstown,PTW,"-75.556702, 40.239601"
small_airport,Pueblo Memorial Airport,4726.0,US,Pueblo,PUB,"-104.49700164794922, 38.289100646972656"
small_airport,Carbon County Regional/Buck Davis Field,5957.0,US,Price,PUC,"-110.7509995, 39.61389923"
medium_airport,Pullman Moscow Regional Airport,2556.0,US,Pullman/Moscow,PUW,"-117.110001, 46.7439"
small_airport,Provincetown Municipal Airport,9.0,US,Provincetown,PVC,"-70.2213973999, 42.0718994141"
large_airport,Theodore Francis Green State Airport,55.0,US,Providence,PVD,"-71.420403, 41.732601"
small_airport,Placerville Airport,2585.0,US,Placerville,PVF,"-120.75299835205, 38.724201202393"
medium_airport,Provo Municipal Airport,4497.0,US,Provo,PVU,"-111.72299957275, 40.219200134277"
small_airport,Hale County Airport,3374.0,US,Plainview,PVW,"-101.71700286865, 34.168098449707"
closed,Casement Airport,699.0,US,Plainesville,PVZ,"-81.21920013430001, 41.73360061649999"
small_airport,Wiley Post Airport,1300.0,US,Oklahoma City,PWA,"-97.64710236, 35.53419876"
small_airport,Sher-Wood Airport,2250.0,US,Plentywood,PWD,"-104.53399658203, 48.790298461914"
medium_airport,Chicago Executive Airport,647.0,US,Chicago/Prospect Heights/Wheeling,PWK,"-87.901494, 42.114222"
large_airport,Portland International Jetport,76.0,US,Portland,PWM,"-70.309303, 43.646198"
medium_airport,Bremerton National Airport,444.0,US,Bremerton,PWT,"-122.76499938965, 47.490200042725"
seaplane_base,Port Bailey Seaplane Base,0.0,US,Port Bailey,KPY,"-153.041000366, 57.930099487300005"
small_airport,Plymouth Municipal Airport,148.0,US,Plymouth,PYM,"-70.728798, 41.909"
seaplane_base,Akutan Seaplane Base,,US,Akutan,KQA,"-165.778895617, 54.1337704415"
small_airport,Kol Airport,5350.0,PG,Kol,KQL,"144.846, -5.73116666667"
heliport,Chuja Port Heliport,,KR,"Chuja, Hachâuja-do (Chujado Islands)",JCJ,"126.324899, 33.941188"
small_airport,John H Batten Airport,674.0,US,Racine,RAC,"-87.8152008057, 42.7606010437"
medium_airport,Riverside Municipal Airport,819.0,US,Riverside,RAL,"-117.4449997, 33.95190048"
medium_airport,Rapid City Regional Airport,3204.0,US,Rapid City,RAP,"-103.05699920654297, 44.0452995300293"
small_airport,Dallas Executive Airport,660.0,US,Dallas,RBD,"-96.8682022095, 32.6809005737"
small_airport,Roseburg Regional Airport,529.0,US,Roseburg,RBG,"-123.356002808, 43.238800048799995"
medium_airport,Red Bluff Municipal Airport,352.0,US,Red Bluff,RBL,"-122.251998901, 40.1506996155"
small_airport,Lowcountry Regional Airport,101.0,US,Walterboro,RBW,"-80.6406021118, 32.921001434299995"
medium_airport,Ellsworth Air Force Base,3276.0,US,Rapid City,RCA,"-103.1039963, 44.14500046"
small_airport,H H Coffield Regional Airport,474.0,US,Rockdale,RCK,"-96.9897003174, 30.6315994263"
small_airport,Fulton County Airport,790.0,US,Rochester,RCR,"-86.18170166019999, 41.065601348899996"
small_airport,Nartron Field,1055.0,US,Reed City,RCT,"-85.5167007446, 43.9000015259"
medium_airport,Redding Municipal Airport,505.0,US,Redding,RDD,"-122.2929993, 40.50899887"
